skip	order_id	product_id	description	price	quantity	is_ready	outlay	outlayPacking
310	150	1	Гирлянда мята Аслан	65	1	1	8,3	0
311	150	1	Гирлянда-звезды мята-белый	50	1	1	15	0
312	151	1	набор фотобутафории бело-розовый Девичник	140	1	1	49	0
313	152	1	Набор детской фотобутафории	80	1	1	13,5	0
314	152	1	Гирлянда текстовая розовая с белым шрифтом	135	1	1	20,4	0
315	152	1	Гирлянда  бабочки розовые с белыми	50	1	1	1	0
316	153	1	Набор беби шауэр	70	1	1	16	0
317	154	1	Набор Микки красные бантики	90	1	1	29,75	0
318	155	1	набор фотобутафории бело-розовый Девичник	150	1	1	51	0
319	155	1	Набор фотобутафории Лица 7 шт	90	1	1	29,75	0
320	156	1	гирлянда текстовая лиловая с бабочками	168	1	1	21	0
321	156	1	Гирлянда бабочки-кружки	50	1	1	1	0
322	156	1	гирлянда бабочки лилово-белые	50	1	1	1	0
323	157	1	Топпер Злата мятный баннер на трубочках	50	1	1	2	0
324	157	1	Топперы маленькие 10 шт с цифрой 2 мята	50	1	1	5,25	0
325	157	1	топпер большой 25 как шарик	40	1	1	2	0
326	157	1	топпер 70 с короной розовый персик	40	1	1	0	0
327	157	1	колпачки 11 шт	110	1	1	44	0
328	157	1	наклейка  С ДР любимая Галя	10	1	1	4	0
329	158	1	Гирлянда HB Polinka горох, полоска розовая с золотом	160	1	1	0	0
330	158	1	Топперы 6 шт (принцесс и HB)	54	1	1	4,75	0
331	158	1	гирлянда-звездочки 1,5 м золото и 1,5 м розовые	60	1	1	7	0
332	159	1	Гирлянда бело-розовая текст салон	65	1	1	8,3	0
333	159	1	гирлянда бабочки бело-розовая	50	1	1	0,5	0
334	159	1	гирлянда бабочки мята-розовый	50	1	1	5	0
335	159	1	набор фотобутафории с лаками	65	1	1	11,25	0
336	159	1	топперы 6 шт	30	1	1	2,75	0
337	160	1	Набор черные таблички Девичник с др текстом	130	1	1	42,5	0
338	161	1	Гирлянда Тассел 15 шт, 7 черных, 8 золото	120	1	1	15	0
339	162	1	Гирлянда Милана с др розовая с белім текстом	135	1	1	20,5	0
340	162	1	Набор фотобутафории детский	85	1	1	3,75	0
341	163	1	Гирлянда Диме 1 годик фиолетовая тачки	90	1	1	12,5	0
342	163	1	Колпачки фиол с тачками 10 шт	100	1	1	40	0
343	163	1	Топперы 10 шт	50	1	1	6,5	0
344	164	1	гирлянда Hello winter	105	1	1	16,5	0
345	165	1	Трубочки 10 шт	30	1	1	0	0
346	165	1	Этикетки на бутылки 10 шт	40	1	1	4	0
347	165	1	Гирлянда елки-варежки 2 шт	80	1	1	16	0
348	166	1	Набор Виктория Сикрет	70	1	1	15	0
349	166	1	Набор Оскар пати 2 шт	170	1	1	67	0
350	166	1	гирлянды-звезды черно=золотые 6 шт	300	1	1	60	0
351	167	1	Набор фотобут НГ из китая	100	1	1	57	0
352	168	1	Коробочки Берти ботс 5 шт	100	1	1	20	0
353	168	1	Очки ГП	40	1	1	0	0
354	168	1	Письма из Хогвартса 5 шт	100	1	1	5	0
355	168	1	Билеты на поезд	50	1	1	4	0
356	169	1	Гирлянда елка варежка	50	1	1	10	0
